word,comment_id
great,UgytYIyg6XJ1-xT13lx4AaABAg.AMxzBIKkHuwAMy9-586nd7
great,UgyS0m93eX-hL64gP4N4AaABAg
great,UgyJQZwcDrVRFT830iJ4AaABAg
great,UgyvS1rKJHKZEU-7ZLx4AaABAg
great,UgxyODOOL-VGWimRNZ94AaABAg
great,UgyEcj0ajz_aXncr7rh4AaABAg
great,UgwYUX8aE2dccuNO-4J4AaABAg
great,UgxJ-OP9pqjFAiSSW8l4AaABAg
great,Ugx6o960t1-Bswx54RZ4AaABAg
great,UgzMdq8zP6XwGaAyk3l4AaABAg
great,Ugz8kef0yxXQaS_CL8p4AaABAg
great,UgxH3cjJYkVuaW8JyYp4AaABAg
great,UgyegS69RSKKpolAEEZ4AaABAg
great,UgxUo0N1bzxNUhMJSDZ4AaABAg
great,Ugxlcc7fi7TUCUIPJgp4AaABAg
great,UgyYQkw8WXF6i56C5Eh4AaABAg
great,Ugz83X17dvHMXKC8z9V4AaABAg
great,UgxjQ8ByH99HP8iBqeZ4AaABAg
great,UgxGm31qNtOsUwdQYKZ4AaABAg
great,UgwCal7SCkQst1GA2HF4AaABAg
great,UgwpLXs0SvrGoIAMxG94AaABAg
great,UgzKizA6CGLHZZFwIDZ4AaABAg
great,UgzfgtOR8eFFGGcRXQx4AaABAg
great,UgwnBYCGfSnCNcxN1ap4AaABAg
great,Ugxe7HFj_1PQyTFMutx4AaABAg
great,UgxjmQouqDlyjW01TI54AaABAg
great,UgzsjeLBrAug5RnnrNt4AaABAg
great,UgxcHRT0KspQBMmlMkh4AaABAg
great,UgyGtye-KFgf1amjuA54AaABAg
great,UgxnxOZ2WCdrGatUXCh4AaABAg
great,UgzHs466R4PuU2ylvQ14AaABAg
great,Ugy2otx6nZRoW4XVR0J4AaABAg
great,UgyUXdhEGmZ5Y6GreJZ4AaABAg
great,UgyFP29WnGgxA2WMa854AaABAg
great,Ugyy7R2xIFsqf0HX1Ch4AaABAg
great,Ugx3xzhkNWvvER4M4bZ4AaABAg
great,UgwNLZCPrMJgvwjnJ314AaABAg
great,UgwtPGqbrHLgyCpQ5pZ4AaABAg
great,UgzxUCDZuPzj0c4QL0t4AaABAg
great,UgxNiB5CskJA163CR8R4AaABAg
great,UgxwP-jUwOYOCQBy5IF4AaABAg
great,UgwgsLLQyRxaalPo6Nl4AaABAg
great,Ugyuw5RhaHEoaYDWcMN4AaABAg
great,Ugz-L8fW2zUqs-E3Dr54AaABAg
great,Ugxm30f18xIfle_qkad4AaABAg
great,Ugy0A4sulxVpui_d5QN4AaABAg
great,UgyJ0T5Ohvn6WEjy0EB4AaABAg
great,UgwmF23O8d9KapUP8bt4AaABAg
great,Ugynh3VSyWo29CPqME14AaABAg
great,UgwMRYaoHT7YGM1-D2V4AaABAg
great,UgyiUEzo3vEpvO63A894AaABAg
great,UgwiHA417H9njLyypF54AaABAg
great,UgxIiyk9XaOIWAUa0rB4AaABAg
great,UgxGRM659yHZyPsOlCB4AaABAg
great,UgyB_jNbU0cnZpBCjQd4AaABAg
great,UgwJZ5dpgSISgyNa7bJ4AaABAg
great,Ugx0VizYZPwkoxllq6R4AaABAg
great,Ugw5wF3QaLYnh26jfP94AaABAg
great,UgxrCKmUOPJZDF3Nx9l4AaABAg
great,UgxCrWtT44ttXckA6_J4AaABAg
great,Ugype514clbhocxWCll4AaABAg
great,UgwuAz5n8M3j30WNvql4AaABAg
great,Ugxh2tnT8Dgin2nXnpd4AaABAg
great,Ugzloi9rDzmox5skh594AaABAg
great,Ugz6ByxTFO13N3rCpPV4AaABAg
great,UgxJXrVavGA8N95uE_l4AaABAg
great,Ugxz_reXS4A70Uj1T9h4AaABAg
great,UgxROECPPWczhLzpyfN4AaABAg
great,UgxKLWXvMJV1FVR-VwZ4AaABAg
great,UgxWs3w7ZxXGqUpOlCx4AaABAg
great,Ugw7iYqX3ZmbkOnZOcF4AaABAg
great,UgzJkJ3LRNtSRCdnWdN4AaABAg
great,UgwkU8jdjsOZysJd07h4AaABAg
great,Ugxq-Nfy_jsfgLCBy7R4AaABAg
great,UgwJinxTfS5zxHVNoGF4AaABAg
great,Ugy02iGJxr-ha2wbv854AaABAg
great,Ugz54HFVPaOuGm_g3Wp4AaABAg
great,UgxAT99TGdot8hSwvUx4AaABAg
great,UgwFhGm5rR-JjBajMzZ4AaABAg
great,UgzHCV2-SrnANtsT8dl4AaABAg
great,UgzmJ0akBDz5vXOsPnJ4AaABAg
great,UgxOnhZXuHBhjY8VHNB4AaABAg
great,UgyBUTnOhe-epaYvTNh4AaABAg.AM5q9Qs8jrqAM5zLen06tz
great,UgyDTxZOWDyd8tmAIpp4AaABAg
great,Ugzmc-IYvWnMUOWAHjZ4AaABAg
great,UgykSSaYkRlrTxfkjqV4AaABAg
great,Ugzka0SpUfB2KvTUebJ4AaABAg
great,Ugz3EB4RD7JKKerGBEJ4AaABAg
great,Ugx7GmKJAP9XOnQfBTx4AaABAg
great,Ugx6SFlfWFdgDLmiSiF4AaABAg
great,UgzXYXbmNbcaaaqrr2Z4AaABAg
great,UgzOjyi3XhcLT7OIaTR4AaABAg
great,Ugxoxip8zv79kFfKdnJ4AaABAg
great,Ugw2BgQmoXJvJ-EfvBB4AaABAg
great,UgxHLXtG3-tLug7bnHZ4AaABAg
great,UgwM-35TZcBioh8kRQ94AaABAg
great,UgwQEBm08EqP32tjhdx4AaABAg.AM5aNL8ZLFTAM5mPpXPw6Z
great,Ugznlq4Y6ZvXrbdQj8F4AaABAg
great,Ugy0pqDmjpzhEndRBil4AaABAg
great,Ugz69Nd0WU8cerTr1ER4AaABAg
great,UgweAv0PqrQBN-8QfqJ4AaABAg
great,UgzaqEHHr4VtBZe24Gl4AaABAg
great,UgzaxLal2gfa7XMpiEB4AaABAg
great,UgyMhpVUOZxoN0MI9zN4AaABAg
great,UgypNF8QNs5bbtbd2Th4AaABAg
great,Ugz3PX2OuPhgz8lt4dN4AaABAg
great,UgzdBpBSrBWswk5XPBh4AaABAg
great,UgxNNQvQ01dt35YRF8d4AaABAg
great,UgwNVmVMKLXbj-k03el4AaABAg
great,UgxMaLl0BiGDE2WbBZh4AaABAg
great,UgylNsCtS4Hdb2NIR3x4AaABAg
great,UgyFZtAAWD4tf1F5FRR4AaABAg
great,Ugz3GN0bomT9OQvK3Cl4AaABAg
great,UgwDYN8e2Om2bPtfbtR4AaABAg
great,Ugz1hL0vpHAt_-YbBLF4AaABAg
great,Ugy1ZVGiJOKQQBgqEgh4AaABAg.ALijbfLYh4mALoAeDEjW7I
great,Ugylkdum1opUJnDbHd94AaABAg
great,UgzWiejQ_yktdtZsiPx4AaABAg
great,Ugydh-81au0GjrUXZtF4AaABAg
great,UgwnlExGLReeHDy5dj14AaABAg
great,UgypAd1gHqv4zm8PJfl4AaABAg
great,Ugw3aQpsxrFg43Z0O6Z4AaABAg.ALgmlK2TEGaALrckcU942n
great,Ugxh6VCu9vlGe1Ty0wV4AaABAg
great,UgwGUBYZztIu2gDPX7N4AaABAg
great,UgxJJNIaEKu_RdzPlt94AaABAg
great,UgyYxIwq8ErL_hVKHbB4AaABAg
great,Ugx3sf8tCKC5vMemZO14AaABAg
great,UgyApUgJGrJeF0nBzK14AaABAg
great,UgwjJvOe5IOFp8-hON94AaABAg
great,Ugz4Pfkzyp64zQcyijh4AaABAg
great,Ugx-R7kU6ZXBdMJJyUF4AaABAg
great,UgyFvuIQf86OYE-R_bZ4AaABAg
great,UgxajhrMiosKU5Sirld4AaABAg
great,UgyeY1CllochV9VKEj14AaABAg
great,Ugz0tOjVDyhZLYyr6dx4AaABAg
great,UgxHylz_9_duUJUp6AJ4AaABAg
great,Ugx4nvoJUtJVAuDvhX54AaABAg
great,Ugwapx6xcZkx-W3R4Dh4AaABAg
great,UgxITMAtyZ72nmzGAFd4AaABAg
great,UgyYOCUnkuzDXx8jCRR4AaABAg
great,UgzKBpBdmW2p-pSfzxJ4AaABAg.ALbmA1pfzBtALbnXGzfQDw
great,UgzvyedvylgN8lZlRoJ4AaABAg
great,UgyBmcJFcqcTTvmY5sp4AaABAg
great,UgxRj9U-XtHltNtdo3J4AaABAg
great,UgwKmFXQQYO1jPlvQ594AaABAg
great,Ugw84oZJXLEWaTcWe354AaABAg
great,UgwA3H_GKsSHDrv7K6R4AaABAg
great,UgzRqKrVcsu0eYfcXDx4AaABAg
great,UgzcBVUaocvhA_1fLZR4AaABAg
great,UgwD9oDxbvMnCNcsOet4AaABAg
great,Ugz8y2YgzuDU-S-QNKR4AaABAg
great,UgyA0GPqRXBhIy7ewAl4AaABAg
great,UgzStqp-HpZMLYDOiWh4AaABAg
great,UgzxrKOWAxgAP_2t8eF4AaABAg
great,UgxZc2kGxUeQxL68yDR4AaABAg
great,UgxAT3lwl1pdgrxgiap4AaABAg
great,UgyCt2aobjj7Xx2tiQ14AaABAg
great,UgzWYpOwjQ0C0cL8d5F4AaABAg
great,UgxjM9oeX7A8sukRdjl4AaABAg
great,UgzZR3FdQAR-Yt_ksk94AaABAg
great,UgyrQsqY1bYYyovn1QV4AaABAg
great,UgwIxIY-qZCv0sXX-H54AaABAg
great,UgzwFpuIsYxzvyuir9B4AaABAg
great,UgzIT1wfC9c14OWmz6Z4AaABAg
great,UgzLEGQyUlaUHie0rgh4AaABAg
great,UgxUX0Moy9ufFOO1GIR4AaABAg
great,UgwD5YckUPrCmVtsgwB4AaABAg
great,UgwjD0A80h71UNDg1gV4AaABAg
great,Ugx5rigfGLY4Bk7mzAJ4AaABAg
great,UgxsegPGPWbRLkyGkaB4AaABAg
great,UgyjJ-66mnVTN21cpM14AaABAg
great,UgziTbTOs6zyvmALKJZ4AaABAg
